race_id,runner_id,race_date,horse_name,target_win,market_odds,draw_num,carried_weight_num,handicap_rating_num,source_url_runner,source_name_runner,source_page_type_runner,extraction_timestamp_runner,source_url_race,source_name_race,source_page_type_race,extraction_timestamp_race,market_implied_prob,market_prob,market_log_prob,fundamental_score,fundamental_prob,blended_prob,calibrated_prob,edge,edge_haircut,expected_value,expected_value_haircut,fractional_kelly_25
2026-03-01-ST-3,2026-03-01-ST-3-11,2026-03-01,AQUAMAN,0,36.0,10.0,120,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.027777777777777776,0.022577958635314047,-3.790781130223739,-2.6999999999999997,0.07079072345278119,0.041863064562300906,0.035369203087433375,0.012791244452119328,0.00895387111648353,0.2732913111476015,0.19130391780332107,0.0013664565557380075
2026-03-01-ST-3,2026-03-01-ST-3-4,2026-03-01,KINGDOM OF RICHES,0,94.0,14.0,127,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.010638297872340425,0.008646877775226656,-4.750556974037632,-2.96,0.05458329957844864,0.027021446496515448,0.02202843233291958,0.013381554557692925,0.009367088190385047,1.0706726392944408,0.7494708475061085,0.0020147065793174957
2026-03-01-ST-3,2026-03-01-ST-3-13,2026-03-01,ONE LOVE,0,105.0,4.0,114,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.009523809523809525,0.007741014389250531,-4.861222541925152,-2.4000000000000004,0.09555748154741375,0.04286760125251582,0.03628891096649961,0.028547896577249078,0.019983527604074354,2.8103356514824593,1.9672349560377214,0.004728930182782984
2026-03-01-ST-3,2026-03-01-ST-3-12,2026-03-01,BLAZING BEAM,0,54.0,12.0,120,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.018518518518518517,0.015051972423542696,-4.196246238331903,-2.76,0.06666819265460001,0.035698460515965626,0.029768526520219343,0.014716554096676647,0.010301587867673653,0.6075004320918446,0.4252503024642912,0.0020058976531334488
2026-03-01-ST-3,2026-03-01-ST-3-7,2026-03-01,MULTISUPERSTAR,0,179.0,7.0,123,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.00558659217877095,0.004540818496487741,-5.394647997608383,-2.67,0.07294662194376791,0.03190313987539981,0.02636066697381223,0.02181984847732449,0.01527389393412714,3.718559388312389,2.6029915718186722,0.003655887039071168
2026-03-01-ST-3,2026-03-01-ST-3-1,2026-03-01,RYUI KOKOROE,0,6.0,6.0,135,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.16666666666666666,0.13546775181188428,-1.9990216609956837,-2.8800000000000003,0.059129382544361404,0.10493240410487513,0.09581368639155072,-0.03965406542033356,-0.02775784579423349,-0.42511788165069564,-0.29758251715548695,0.0
2026-03-01-ST-3,2026-03-01-ST-3-3,2026-03-01,GAZELEY,0,62.0,9.0,133,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.016129032258064516,0.013109782433408155,-4.33439657681272,-2.93,0.05624560852875547,0.030364112871547083,0.02498835607642446,0.011878573643016305,0.008315001550111414,0.5492780767383166,0.3844946537168216,0.0015757977611345149
2026-03-01-ST-3,2026-03-01-ST-3-9,2026-03-01,MONEY TYCOON,0,68.0,5.0,121,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,0.014705882352941176,0.011953036924578024,-4.4267698969437355,-2.57,0.08061848514411118,0.03941921621239129,0.033139774243635484,0.021186737319057458,0.014830716123340219,1.253504648567213,0.877453253997049,0.0032740793059591383
2026-03-01-ST-4,2026-03-01-ST-4-11,2026-03-01,WARRIORS DREAM,1,15.0,6.0,124,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,0.06666666666666667,0.05342780033156882,-2.9294240630239052,-2.66,0.07913966793156688,0.06371254737156803,0.05574966820867274,0.0023218678771039225,0.0016253075139727458,-0.1637549768699088,-0.11462848380893616,0.0
2026-03-01-ST-4,2026-03-01-ST-4-1,2026-03-01,ALSONSO,0,43.0,7.0,135,,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,0.023255813953488372,0.018637604766826334,-3.9825739776152576,-2.91,0.06163403535711524,0.035836177002941894,0.029892788038760686,0.011255183271934352,0.007878628290354047,0.2853898856667094,0.19977291996669658,0.001189124523611289
