race_id,runner_id,race_date,racecourse,race_no,horse_no,horse_name,draw_num,carried_weight_num,handicap_rating_num,jockey,trainer,market_odds,market_implied_prob_raw,target_win,pre_race_feature_set_version,odds_quality_note,source_url_runner,source_name_runner,source_page_type_runner,extraction_timestamp_runner,source_url_race,source_name_race,source_page_type_race,extraction_timestamp_race
2026-03-01-ST-3,2026-03-01-ST-3-11,2026-03-01,ST,3,11.0,AQUAMAN,10.0,120,,M Chadwick,C W Chang,36.0,0.027777777777777776,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-4,2026-03-01,ST,3,4.0,KINGDOM OF RICHES,14.0,127,,M L Yeung,C S Shum,94.0,0.010638297872340425,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-13,2026-03-01,ST,3,13.0,ONE LOVE,4.0,114,,H T Mo,J Size,105.0,0.009523809523809525,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-12,2026-03-01,ST,3,12.0,BLAZING BEAM,12.0,120,,R Kingscote,K H Ting,54.0,0.018518518518518517,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-7,2026-03-01,ST,3,7.0,MULTISUPERSTAR,7.0,123,,Y L Chung,A S Cruz,179.0,0.00558659217877095,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-1,2026-03-01,ST,3,1.0,RYUI KOKOROE,6.0,135,,H Bentley,D A Hayes,6.0,0.16666666666666666,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-3,2026-03-01,ST,3,3.0,GAZELEY,9.0,133,,L Hewitson,K W Lui,62.0,0.016129032258064516,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-3,2026-03-01-ST-3-9,2026-03-01,ST,3,9.0,MONEY TYCOON,5.0,121,,K C Leung,F C Lor,68.0,0.014705882352941176,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=3,HKJC,Results,2026-04-27T07:50:06.502386+00:00
2026-03-01-ST-4,2026-03-01-ST-4-11,2026-03-01,ST,4,11.0,WARRIORS DREAM,6.0,124,,L Hewitson,B Crawford,15.0,0.06666666666666667,1,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00
2026-03-01-ST-4,2026-03-01-ST-4-1,2026-03-01,ST,4,1.0,ALSONSO,7.0,135,,L Ferraris,M Newnham,43.0,0.023255813953488372,0,v1,Historical odds snapshots unavailable for many races; final odds are not equivalent to live bet-time odds.,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00,https://racing.hkjc.com/en-us/local/information/localresults?racedate=2026/03/01&Racecourse=ST&RaceNo=4,HKJC,Results,2026-04-27T07:50:11.343328+00:00
